city,high,low,measurement,midnight,pollutant,site,year
Amsterdam,11.88760563028169,12.633238632301136,µg/m3,13.624645888866853,PM2.5,STA-NL00007,2017.0
Amsterdam,11.568221570816327,14.171551720747129,µg/m3,14.540406973313955,PM2.5,STA-NL00012,2017.0
Amsterdam,9.100277774527777,10.518487391624651,µg/m3,10.252354567229917,PM2.5,STA-NL00014,2017.0
Amsterdam,13.343678158017243,14.797653955395894,µg/m3,14.345762708502827,PM2.5,STA-NL00016,2017.0
Amsterdam,13.009523805686273,13.275766013091923,µg/m3,14.069832398435754,PM2.5,STA-NL00017,2017.0
Amsterdam,11.067679554254145,12.076308536776857,µg/m3,11.904683192258954,PM2.5,STA-NL00701,2017.0
Amsterdam,11.688668551728048,12.765142853085713,µg/m3,12.981869684589235,PM2.5,STA-NL00007,2018.0
Amsterdam,12.13506097237805,14.648695649072463,µg/m3,15.83720929901163,PM2.5,STA-NL00012,2018.0
Amsterdam,9.04875345927978,10.90508474220339,µg/m3,11.558263301764708,PM2.5,STA-NL00014,2018.0
Amsterdam,12.463005776705204,14.010724634231883,µg/m3,14.508092482283239,PM2.5,STA-NL00016,2018.0
Amsterdam,12.213802813859155,13.47134670174785,µg/m3,14.192415727191014,PM2.5,STA-NL00017,2018.0
Amsterdam,11.603342614930364,12.880716249752064,µg/m3,13.27999999687324,PM2.5,STA-NL00701,2018.0
Amsterdam,127.62270016334261,74.89339941508428,ugNO2/m3,105.2925186212605,NOX as NO2,STA-NL00002,2016.0
Amsterdam,29.62533944383978,26.548190405276245,ugNO2/m3,31.89645720140884,NOX as NO2,STA-NL00003,2016.0
Amsterdam,115.7380634494199,48.08992564298343,ugNO2/m3,68.91754225279006,NOX as NO2,STA-NL00007,2016.0
Amsterdam,67.83841743666666,40.31478745273224,ugNO2/m3,53.55126634639344,NOX as NO2,STA-NL00012,2016.0
Amsterdam,30.36712497671348,26.40307888360563,ugNO2/m3,31.28754789543662,NOX as NO2,STA-NL00014,2016.0
Amsterdam,73.16845062437159,45.764613441565935,ugNO2/m3,56.47145599604396,NOX as NO2,STA-NL00017,2016.0
Amsterdam,40.841392850000005,32.71560162403954,ugNO2/m3,39.34655348943662,NOX as NO2,STA-NL00019,2016.0
Amsterdam,93.27326021699724,52.69709785617079,ugNO2/m3,66.08943082539945,NOX as NO2,STA-NL00020,2016.0
Amsterdam,28.21064164245125,26.45424637,ugNO2/m3,31.630788850056184,NOX as NO2,STA-NL00021,2016.0
Amsterdam,27.327113192928177,24.98568500712707,ugNO2/m3,30.013741907872927,NOX as NO2,STA-NL00022,2016.0
Amsterdam,28.91074310041543,31.125126646498515,ugNO2/m3,33.83680249198813,NOX as NO2,STA-NL00701,2016.0
Amsterdam,125.18319558820936,75.79450549032968,ugNO2/m3,101.7961538424176,NOX as NO2,STA-NL00002,2017.0
Amsterdam,28.137673126897507,25.252354567423822,ugNO2/m3,28.18421052301939,NOX as NO2,STA-NL00003,2017.0
Amsterdam,94.56111110727777,43.379775277331454,ugNO2/m3,58.975630248403355,NOX as NO2,STA-NL00007,2017.0
Amsterdam,59.169999996222224,36.33591159859116,ugNO2/m3,45.243093918729286,NOX as NO2,STA-NL00012,2017.0
Amsterdam,30.054419886325963,24.97071822853591,ugNO2/m3,28.603867400000002,NOX as NO2,STA-NL00014,2017.0
Amsterdam,67.7890756257423,43.57359550210674,ugNO2/m3,52.62044817563026,NOX as NO2,STA-NL00017,2017.0
Amsterdam,37.27170329335165,30.637808215780826,ugNO2/m3,35.09726027046575,NOX as NO2,STA-NL00019,2017.0
Amsterdam,87.30248618392265,51.74462809550965,ugNO2/m3,62.010468316115706,NOX as NO2,STA-NL00020,2017.0
Amsterdam,26.85388888566667,23.016806719327732,ugNO2/m3,27.411204478095236,NOX as NO2,STA-NL00021,2017.0
Amsterdam,25.625138118093925,23.447237566077344,ugNO2/m3,27.422651930000004,NOX as NO2,STA-NL00022,2017.0
Amsterdam,25.77387640073034,25.983240219776533,ugNO2/m3,27.067039102569833,NOX as NO2,STA-NL00701,2017.0
Amsterdam,93.7590027666759,57.63715083432962,ugNO2/m3,76.43324021969275,NOX as NO2,STA-NL00002,2018.0
Amsterdam,25.39863013328767,22.016438352630136,ugNO2/m3,25.372527469010993,NOX as NO2,STA-NL00003,2018.0
Amsterdam,93.7606741533708,41.370254953824364,ugNO2/m3,58.16912180943343,NOX as NO2,STA-NL00007,2018.0
Amsterdam,59.66373625997253,35.133791205274726,ugNO2/m3,44.26785713939561,NOX as NO2,STA-NL00012,2018.0
Amsterdam,24.938781159972297,23.56869805761773,ugNO2/m3,26.975277774333335,NOX as NO2,STA-NL00014,2018.0
Amsterdam,61.161111106999996,39.04435261352617,ugNO2/m3,47.40743801269973,NOX as NO2,STA-NL00017,2018.0
Amsterdam,34.734626035290866,27.62326869429363,ugNO2/m3,33.17583333016667,NOX as NO2,STA-NL00019,2018.0
Amsterdam,76.62904109230138,45.79287670852055,ugNO2/m3,55.11648351260989,NOX as NO2,STA-NL00020,2018.0
Amsterdam,23.381232489495797,21.274358971054134,ugNO2/m3,24.607246373420292,NOX as NO2,STA-NL00021,2018.0
Amsterdam,22.67194444088889,22.89860334849162,ugNO2/m3,25.920612809582174,NOX as NO2,STA-NL00022,2018.0
Amsterdam,23.543013694849318,23.252747248956045,ugNO2/m3,25.25302197423077,NOX as NO2,STA-NL00701,2018.0
Amsterdam,51.87994428604457,35.77696628814607,µg/m3,45.20784313316526,NO2,STA-NL00002,2016.0
Amsterdam,22.632872924834253,21.20911601850829,µg/m3,24.17624308991713,NO2,STA-NL00003,2016.0
